Embalaje,Ancho_cm,Largo_cm,Alto_cm,Peso_kg,Manipulacion,Procedencia,Temperatura,Protocolo
1,27.9,89.1,64.8,78.8,normal,B,ambiente,Protocolo_2
3,38.1,44.9,13.6,47.74,normal,A,ambiente,Protocolo_1
3,74.3,40.3,56.0,76.81,normal,B,ambiente,Protocolo_1
2,11.3,76.7,63.2,8.08,normal,A,refrigerado,Protocolo_1
3,16.1,64.9,70.3,3.6,normal,A,refrigerado,Protocolo_1
3,63.5,37.7,16.9,28.65,fragil,B,ambiente,Protocolo_1
2,62.7,42.8,48.7,67.34,normal,C,ambiente,Protocolo_2
3,97.4,43.8,49.0,4.23,normal,A,ambiente,Protocolo_1
1,40.6,17.0,84.4,20.33,fragil,C,ambiente,Protocolo_2
1,11.2,26.8,49.5,78.8,normal,B,ambiente,Protocolo_2
3,56.1,56.1,43.6,51.35,normal,A,ambiente,Protocolo_1
2,65.6,79.3,16.7,31.57,normal,A,ambiente,Protocolo_1
1,18.3,44.8,71.0,6.41,fragil,A,ambiente,Protocolo_2
3,57.5,41.4,63.9,60.47,normal,A,ambiente,Protocolo_1
1,23.8,66.8,73.1,74.04,fragil,B,refrigerado,Protocolo_2
3,85.2,19.9,67.3,59.38,normal,A,refrigerado,Protocolo_2
1,84.3,41.2,88.2,9.49,normal,B,ambiente,Protocolo_1
3,45.8,24.8,88.3,42.64,fragil,A,ambiente,Protocolo_2
3,96.8,66.9,34.2,32.34,normal,A,refrigerado,Protocolo_1
3,98.1,15.7,22.3,72.34,normal,C,refrigerado,Protocolo_2
2,17.3,47.5,93.0,61.03,fragil,C,refrigerado,Protocolo_2
2,39.9,61.6,72.7,64.2,normal,B,ambiente,Protocolo_1
3,62.0,84.2,97.2,33.22,normal,D,ambiente,Protocolo_1
1,13.1,73.8,52.2,2.18,fragil,A,ambiente,Protocolo_2
3,41.4,94.6,96.4,60.8,normal,C,ambiente,Protocolo_2
2,29.8,69.6,16.7,50.74,normal,B,ambiente,Protocolo_1
2,95.4,38.2,61.1,11.49,normal,B,ambiente,Protocolo_1
2,44.1,27.0,52.2,60.59,normal,A,refrigerado,Protocolo_2
2,77.5,10.4,5.3,12.11,fragil,A,ambiente,Protocolo_2
1,41.7,31.4,23.3,59.23,normal,C,refrigerado,Protocolo_2
1,17.5,18.0,19.6,57.15,fragil,A,refrigerado,Protocolo_2
1,87.0,40.1,10.8,0.8,normal,D,ambiente,Protocolo_1
1,5.0,71.7,95.1,62.03,normal,A,refrigerado,Protocolo_2
2,10.3,70.7,96.7,32.73,normal,B,ambiente,Protocolo_1
3,39.6,35.2,89.7,40.63,normal,B,ambiente,Protocolo_1
2,70.3,53.3,98.9,77.18,fragil,D,ambiente,Protocolo_2
2,37.5,25.6,83.9,73.6,normal,A,refrigerado,Protocolo_2
3,11.3,52.8,93.6,30.74,normal,B,ambiente,Protocolo_1
2,35.2,53.5,23.8,56.82,normal,C,ambiente,Protocolo_1
1,28.3,33.6,29.4,41.14,normal,A,refrigerado,Protocolo_2
3,5.5,29.6,86.9,65.81,fragil,B,refrigerado,Protocolo_2
2,55.8,98.1,50.5,25.71,fragil,A,refrigerado,Protocolo_2
2,16.1,56.0,73.1,37.78,fragil,D,ambiente,Protocolo_1
2,32.3,58.4,58.4,9.17,normal,C,refrigerado,Protocolo_2
2,65.9,5.7,34.0,74.15,fragil,A,ambiente,Protocolo_2
1,73.9,22.3,32.1,72.08,fragil,C,ambiente,Protocolo_2
2,30.0,38.9,76.1,22.23,normal,A,ambiente,Protocolo_1
3,36.3,96.8,55.5,46.72,normal,D,ambiente,Protocolo_2
1,28.5,21.6,39.1,30.39,normal,A,ambiente,Protocolo_1
2,95.9,33.8,63.6,12.63,normal,B,refrigerado,Protocolo_1
1,23.1,99.1,44.9,3.79,normal,D,ambiente,Protocolo_1
2,22.4,50.7,50.1,65.86,normal,A,ambiente,Protocolo_2
2,47.3,35.2,69.4,23.27,fragil,D,ambiente,Protocolo_2
3,23.0,65.3,48.5,41.33,normal,C,refrigerado,Protocolo_2
1,19.9,52.1,95.2,72.23,normal,B,ambiente,Protocolo_2
1,14.1,96.0,51.1,1.79,fragil,A,ambiente,Protocolo_2
2,65.8,12.9,96.4,43.88,fragil,C,refrigerado,Protocolo_2
3,63.1,80.1,85.5,76.45,fragil,B,ambiente,Protocolo_2
3,66.8,31.5,89.6,64.78,normal,B,ambiente,Protocolo_1
1,78.5,81.6,77.5,17.7,fragil,B,ambiente,Protocolo_2
1,36.0,85.5,62.4,16.23,normal,B,ambiente,Protocolo_1
3,92.3,85.7,55.6,61.05,normal,B,ambiente,Protocolo_2
1,74.7,87.3,57.4,6.56,normal,C,ambiente,Protocolo_2
3,81.4,73.2,24.1,48.03,normal,B,ambiente,Protocolo_1
1,73.5,18.5,25.4,18.88,normal,D,ambiente,Protocolo_1
3,39.1,9.9,8.2,67.17,normal,B,refrigerado,Protocolo_2
1,31.9,37.4,75.8,30.48,fragil,A,ambiente,Protocolo_2
2,45.1,52.0,16.9,33.31,normal,D,refrigerado,Protocolo_1
2,14.2,33.7,60.3,63.59,fragil,D,ambiente,Protocolo_2
1,47.9,75.5,18.1,7.23,normal,D,ambiente,Protocolo_1
2,9.1,73.6,11.3,48.16,normal,B,ambiente,Protocolo_1
2,5.4,97.3,55.7,77.02,fragil,B,ambiente,Protocolo_2
3,93.5,43.1,87.9,52.1,fragil,A,ambiente,Protocolo_2
3,70.5,79.6,38.8,6.73,fragil,D,ambiente,Protocolo_2
2,58.4,75.4,92.3,72.7,normal,C,ambiente,Protocolo_1
2,37.4,98.9,6.0,10.49,normal,A,refrigerado,Protocolo_1
2,59.2,78.5,49.2,29.63,normal,A,refrigerado,Protocolo_1
2,89.7,31.9,18.9,14.7,fragil,D,ambiente,Protocolo_1
3,67.0,6.5,35.0,57.8,normal,B,ambiente,Protocolo_1
1,62.2,97.0,7.3,21.34,normal,B,ambiente,Protocolo_1
1,48.7,73.0,8.4,21.04,normal,A,ambiente,Protocolo_1
2,37.8,82.2,72.7,33.2,normal,A,ambiente,Protocolo_1
1,71.4,80.4,67.2,23.03,normal,B,refrigerado,Protocolo_2
1,98.2,74.9,24.8,62.81,fragil,A,refrigerado,Protocolo_2
1,45.4,76.4,90.6,42.23,fragil,A,refrigerado,Protocolo_2
3,42.3,93.3,70.4,44.56,normal,B,ambiente,Protocolo_1
3,45.7,91.8,36.9,13.1,fragil,A,refrigerado,Protocolo_2
3,45.4,41.0,43.7,73.1,fragil,D,refrigerado,Protocolo_2
2,99.1,7.9,32.8,28.04,normal,B,ambiente,Protocolo_1
3,72.1,8.7,83.9,30.31,normal,A,ambiente,Protocolo_1
1,39.1,47.4,51.9,19.54,normal,A,ambiente,Protocolo_1
3,40.3,84.3,17.9,76.82,normal,B,ambiente,Protocolo_1
2,45.9,85.5,24.2,48.64,normal,B,ambiente,Protocolo_1
3,8.5,43.4,33.2,5.06,fragil,C,ambiente,Protocolo_2
1,55.1,33.7,43.3,15.57,normal,C,refrigerado,Protocolo_2
2,82.1,53.1,61.3,38.54,normal,B,ambiente,Protocolo_1
3,67.8,84.1,96.6,15.19,normal,B,ambiente,Protocolo_1
2,23.8,65.5,29.9,48.48,fragil,A,refrigerado,Protocolo_2
2,74.2,18.3,36.2,24.77,fragil,A,refrigerado,Protocolo_2
1,73.3,39.4,7.3,28.1,fragil,A,refrigerado,Protocolo_2
2,29.9,57.8,40.4,62.98,fragil,B,refrigerado,Protocolo_2
1,64.2,56.1,69.1,42.04,normal,A,ambiente,Protocolo_2
1,63.0,83.9,96.5,9.22,fragil,B,ambiente,Protocolo_2
3,84.8,93.6,75.3,29.88,normal,A,ambiente,Protocolo_1
2,17.9,14.5,16.2,71.73,normal,D,ambiente,Protocolo_1
2,23.5,26.3,89.6,67.72,normal,A,refrigerado,Protocolo_2
2,51.2,42.3,84.7,60.84,fragil,C,refrigerado,Protocolo_2
3,9.2,33.2,23.0,67.51,fragil,D,refrigerado,Protocolo_2
1,44.5,43.8,93.8,7.5,fragil,D,ambiente,Protocolo_2
2,79.9,8.9,72.8,9.95,normal,C,ambiente,Protocolo_1
1,19.1,11.3,79.4,1.69,normal,C,ambiente,Protocolo_1
2,48.7,84.6,48.6,10.18,normal,A,ambiente,Protocolo_1
3,99.0,14.7,24.1,65.92,fragil,B,ambiente,Protocolo_2
2,53.1,83.3,80.9,3.23,fragil,B,ambiente,Protocolo_2
3,52.3,34.1,50.4,37.32,normal,B,ambiente,Protocolo_1
2,58.1,34.4,96.9,19.92,fragil,B,ambiente,Protocolo_1
3,22.7,14.6,19.6,66.63,normal,A,refrigerado,Protocolo_2
2,19.0,6.3,38.8,64.27,normal,A,ambiente,Protocolo_1
1,69.3,38.8,74.9,61.33,normal,B,ambiente,Protocolo_2
3,42.6,84.4,59.4,30.38,normal,D,ambiente,Protocolo_1
3,32.5,92.4,46.2,74.06,normal,C,ambiente,Protocolo_1
1,8.0,10.9,71.7,71.69,normal,B,refrigerado,Protocolo_2
3,85.4,7.9,74.7,52.14,normal,D,refrigerado,Protocolo_2
1,8.1,20.1,59.8,49.08,normal,C,ambiente,Protocolo_2
3,76.2,77.8,35.3,27.09,normal,C,ambiente,Protocolo_1
3,41.3,24.5,63.8,58.92,normal,C,ambiente,Protocolo_1
2,61.9,26.9,56.8,75.09,fragil,C,refrigerado,Protocolo_2
3,28.5,89.4,80.8,25.43,normal,D,ambiente,Protocolo_1
1,19.8,88.1,67.1,23.02,normal,B,refrigerado,Protocolo_1
1,55.7,68.7,52.2,21.23,normal,C,refrigerado,Protocolo_2
1,71.1,20.6,6.8,78.66,fragil,A,refrigerado,Protocolo_2
2,23.6,41.2,20.9,43.32,normal,D,ambiente,Protocolo_1
3,46.5,27.4,37.0,77.41,fragil,C,ambiente,Protocolo_2
1,47.2,68.8,62.1,49.47,normal,A,ambiente,Protocolo_2
2,25.5,79.1,80.3,23.62,normal,B,ambiente,Protocolo_1
3,58.7,18.5,96.2,46.99,normal,A,ambiente,Protocolo_1
1,18.9,90.3,62.0,12.6,normal,B,refrigerado,Protocolo_2
3,53.4,49.0,74.2,35.96,normal,C,ambiente,Protocolo_1
1,15.8,80.5,64.0,35.54,normal,B,refrigerado,Protocolo_1
3,51.1,9.9,45.9,46.21,fragil,C,ambiente,Protocolo_2
2,34.6,39.3,62.9,31.1,normal,C,ambiente,Protocolo_1
2,48.0,6.4,43.1,36.52,normal,D,ambiente,Protocolo_1
1,46.2,73.3,48.1,70.12,fragil,D,ambiente,Protocolo_2
2,91.3,12.5,91.5,14.6,normal,A,refrigerado,Protocolo_1
3,51.5,37.1,58.6,73.83,normal,B,ambiente,Protocolo_1
1,82.8,79.3,14.5,43.18,normal,A,ambiente,Protocolo_2
3,26.4,76.2,54.8,50.38,normal,B,ambiente,Protocolo_1
2,38.4,65.8,95.6,8.52,normal,A,ambiente,Protocolo_1
3,12.1,70.9,14.5,11.79,fragil,B,ambiente,Protocolo_2
2,45.0,66.9,97.3,58.66,normal,D,ambiente,Protocolo_2
2,68.5,65.9,98.8,72.07,normal,C,refrigerado,Protocolo_2
1,84.6,38.2,58.3,41.6,normal,B,ambiente,Protocolo_2
2,58.8,7.7,36.6,13.57,fragil,A,ambiente,Protocolo_1
1,65.8,47.0,5.8,63.79,fragil,A,ambiente,Protocolo_2
2,21.8,9.3,6.5,73.42,normal,A,refrigerado,Protocolo_2
1,8.5,49.5,41.9,53.68,fragil,A,refrigerado,Protocolo_2
2,80.2,49.1,79.4,14.79,fragil,C,ambiente,Protocolo_2
2,20.9,22.0,94.5,33.12,normal,D,refrigerado,Protocolo_1
1,13.7,79.5,19.7,75.2,normal,C,ambiente,Protocolo_2
3,94.1,71.9,51.3,15.49,fragil,D,ambiente,Protocolo_2
2,96.5,58.2,52.7,13.83,fragil,A,refrigerado,Protocolo_2
3,63.5,93.0,41.1,56.2,normal,B,ambiente,Protocolo_1
1,41.0,32.3,56.3,43.54,normal,A,refrigerado,Protocolo_2
1,84.2,29.9,92.9,16.54,fragil,A,ambiente,Protocolo_2
2,24.4,22.4,46.7,49.4,normal,A,ambiente,Protocolo_1
1,45.8,56.7,18.1,74.95,fragil,C,ambiente,Protocolo_2
1,38.9,24.5,68.2,68.44,fragil,B,ambiente,Protocolo_2
2,91.7,87.5,8.0,0.72,normal,D,ambiente,Protocolo_1
1,92.4,33.9,94.3,70.17,normal,A,ambiente,Protocolo_2
3,66.8,51.6,94.3,50.23,normal,C,ambiente,Protocolo_2
1,15.5,55.3,13.8,21.52,normal,B,ambiente,Protocolo_1
1,50.8,34.2,57.3,7.65,normal,C,refrigerado,Protocolo_2
2,28.3,75.1,80.8,77.7,fragil,B,ambiente,Protocolo_2
3,89.1,70.7,49.1,2.52,fragil,A,ambiente,Protocolo_1
1,18.1,77.3,50.5,14.93,normal,B,ambiente,Protocolo_1
1,10.2,62.6,97.2,53.77,normal,A,ambiente,Protocolo_2
3,71.9,48.7,26.9,60.68,normal,B,refrigerado,Protocolo_2
3,48.1,47.6,55.0,21.48,normal,A,ambiente,Protocolo_1
2,84.6,73.1,15.9,59.02,normal,C,ambiente,Protocolo_1
2,12.1,40.8,33.7,61.26,normal,D,ambiente,Protocolo_2
2,81.1,46.5,85.8,64.26,fragil,A,ambiente,Protocolo_2
2,8.5,20.5,73.1,60.36,normal,B,refrigerado,Protocolo_2
2,7.7,69.6,63.1,2.81,normal,A,ambiente,Protocolo_1
1,48.8,12.3,15.8,71.41,normal,A,ambiente,Protocolo_2
1,26.0,99.1,85.8,45.11,fragil,B,refrigerado,Protocolo_2
1,61.4,18.7,33.3,34.6,normal,C,refrigerado,Protocolo_1
3,7.5,41.4,55.8,2.15,normal,A,ambiente,Protocolo_1
2,8.4,27.6,27.2,47.35,normal,A,ambiente,Protocolo_1
2,74.1,32.6,54.5,13.19,normal,D,refrigerado,Protocolo_1
2,25.0,35.6,58.4,43.9,normal,C,ambiente,Protocolo_1
3,67.4,73.2,37.3,15.3,normal,A,refrigerado,Protocolo_1
1,76.2,21.8,53.1,55.1,fragil,A,ambiente,Protocolo_2
1,10.6,30.1,43.6,7.29,normal,D,refrigerado,Protocolo_2
1,78.1,14.6,71.3,48.11,normal,D,ambiente,Protocolo_2
2,30.5,36.5,56.7,51.58,fragil,C,refrigerado,Protocolo_2
3,42.0,94.4,88.4,31.74,normal,A,ambiente,Protocolo_1
2,13.2,41.1,9.7,73.39,normal,C,refrigerado,Protocolo_2
2,84.7,78.8,7.5,42.22,fragil,B,ambiente,Protocolo_2
3,58.3,48.9,22.9,60.09,normal,A,ambiente,Protocolo_1
1,52.9,47.7,16.3,35.67,normal,A,refrigerado,Protocolo_1
2,97.0,83.3,55.0,63.38,normal,A,ambiente,Protocolo_2
2,36.8,7.5,24.0,71.81,normal,A,ambiente,Protocolo_1
2,89.6,87.2,6.5,33.16,normal,B,ambiente,Protocolo_1
3,73.4,51.1,31.8,77.4,fragil,C,refrigerado,Protocolo_2
1,93.2,38.4,53.4,12.42,normal,D,ambiente,Protocolo_1
3,91.2,91.1,72.9,67.72,normal,D,ambiente,Protocolo_2
1,99.1,37.3,46.6,42.16,fragil,C,ambiente,Protocolo_2
2,17.5,97.9,96.5,11.25,normal,A,ambiente,Protocolo_1
2,80.6,94.0,23.9,50.1,normal,B,ambiente,Protocolo_1
3,81.4,30.5,53.8,10.68,normal,A,ambiente,Protocolo_1
2,66.2,37.4,29.1,71.02,normal,C,refrigerado,Protocolo_2
1,31.5,82.2,81.6,65.32,normal,A,refrigerado,Protocolo_2
1,96.7,23.6,22.8,52.41,fragil,C,refrigerado,Protocolo_2
2,24.4,74.5,96.4,18.79,normal,A,ambiente,Protocolo_1
3,52.5,17.3,73.1,77.03,normal,C,ambiente,Protocolo_2
1,54.5,24.5,57.9,68.28,normal,C,ambiente,Protocolo_2
3,20.4,52.5,55.6,57.27,normal,A,ambiente,Protocolo_1
2,73.6,75.9,39.4,29.36,normal,D,refrigerado,Protocolo_1
1,13.4,75.2,7.0,38.84,fragil,A,refrigerado,Protocolo_2
1,70.8,62.8,91.9,27.18,normal,A,ambiente,Protocolo_2
2,85.6,30.9,80.5,67.98,normal,B,ambiente,Protocolo_1
1,38.2,44.5,17.8,24.85,normal,B,ambiente,Protocolo_2
1,72.4,28.4,16.6,19.22,normal,C,ambiente,Protocolo_2
2,19.9,31.3,34.3,17.3,normal,B,ambiente,Protocolo_1
3,85.4,35.7,77.5,32.21,fragil,A,refrigerado,Protocolo_2
1,95.4,61.9,52.8,49.91,normal,B,ambiente,Protocolo_2
1,19.5,24.7,67.1,66.57,normal,D,ambiente,Protocolo_2
1,70.7,9.0,5.6,73.99,fragil,A,refrigerado,Protocolo_2
2,53.1,70.8,92.8,6.59,fragil,A,ambiente,Protocolo_2
3,55.5,7.1,20.7,3.97,normal,D,ambiente,Protocolo_1
3,72.1,97.2,35.3,29.15,fragil,D,ambiente,Protocolo_2
3,51.4,38.3,95.0,64.85,normal,D,ambiente,Protocolo_2
3,62.0,5.6,74.6,72.61,normal,A,refrigerado,Protocolo_2
1,26.9,89.0,53.6,13.64,normal,C,ambiente,Protocolo_2
1,41.0,62.0,87.0,23.0,normal,A,refrigerado,Protocolo_2
2,87.2,82.7,10.8,72.18,normal,C,refrigerado,Protocolo_2
3,15.4,46.3,12.2,46.15,normal,A,ambiente,Protocolo_1
3,61.8,38.6,19.7,32.73,normal,B,ambiente,Protocolo_1
1,22.5,67.2,30.1,19.63,fragil,D,ambiente,Protocolo_2
1,85.4,43.6,72.4,9.21,normal,A,refrigerado,Protocolo_2
1,60.0,57.8,55.6,8.85,normal,A,ambiente,Protocolo_1
1,43.3,31.4,45.5,53.99,normal,C,refrigerado,Protocolo_2
2,28.7,36.6,79.3,57.69,normal,C,ambiente,Protocolo_1
2,46.5,12.8,35.1,29.38,normal,B,refrigerado,Protocolo_1
2,96.0,79.2,13.1,48.56,normal,C,refrigerado,Protocolo_2
1,53.4,38.1,42.7,12.65,normal,D,refrigerado,Protocolo_2
3,49.6,97.6,77.8,1.87,fragil,C,ambiente,Protocolo_2
2,75.9,29.7,50.0,8.17,normal,B,refrigerado,Protocolo_2
3,41.0,50.1,97.8,8.65,normal,C,ambiente,Protocolo_1
3,45.6,34.0,86.3,78.78,normal,B,ambiente,Protocolo_1
1,37.0,70.9,80.1,19.03,normal,A,refrigerado,Protocolo_2
1,19.3,81.8,78.5,10.9,normal,A,ambiente,Protocolo_1
3,72.8,51.3,60.2,63.67,normal,B,ambiente,Protocolo_1
2,87.9,39.9,90.6,29.46,normal,A,ambiente,Protocolo_1
1,91.0,75.8,61.0,16.66,normal,A,refrigerado,Protocolo_2
2,88.7,23.2,40.4,17.79,normal,B,refrigerado,Protocolo_1
2,47.9,61.9,23.6,11.3,normal,D,ambiente,Protocolo_1
3,32.0,74.7,82.2,6.58,normal,A,ambiente,Protocolo_1
1,65.6,30.6,40.3,54.47,normal,D,ambiente,Protocolo_2
3,95.7,67.3,80.1,35.31,normal,A,refrigerado,Protocolo_1
3,74.1,74.8,98.4,12.05,normal,B,ambiente,Protocolo_1
1,52.0,16.2,42.9,63.44,fragil,D,refrigerado,Protocolo_2
1,70.4,35.8,37.4,1.73,normal,A,refrigerado,Protocolo_1
2,78.4,43.6,21.2,34.56,normal,B,ambiente,Protocolo_1
1,92.3,78.7,50.2,10.36,fragil,C,refrigerado,Protocolo_2
1,77.5,58.9,67.1,2.42,normal,B,refrigerado,Protocolo_1
2,46.2,47.7,34.7,44.14,normal,A,refrigerado,Protocolo_2
3,31.0,35.3,51.1,12.6,normal,B,ambiente,Protocolo_1
3,52.5,5.4,56.0,5.67,normal,A,refrigerado,Protocolo_1
1,36.2,6.9,31.1,38.41,fragil,B,ambiente,Protocolo_2
3,94.6,27.8,7.2,67.52,fragil,A,ambiente,Protocolo_2
1,53.3,16.1,25.5,38.95,fragil,C,ambiente,Protocolo_2
3,49.8,16.4,81.3,6.56,fragil,C,ambiente,Protocolo_2
3,38.1,62.3,31.4,24.49,normal,A,ambiente,Protocolo_1
3,65.7,62.5,6.3,35.8,fragil,C,refrigerado,Protocolo_2
1,54.4,9.3,45.4,22.64,fragil,C,ambiente,Protocolo_2
3,17.3,61.4,69.8,27.14,normal,B,ambiente,Protocolo_1
1,87.6,18.9,76.5,40.11,normal,D,refrigerado,Protocolo_2
2,39.1,40.8,44.3,75.41,normal,A,ambiente,Protocolo_1
2,46.1,99.0,59.3,64.43,normal,A,ambiente,Protocolo_2
1,24.5,54.6,75.8,16.51,normal,A,ambiente,Protocolo_1
1,57.6,8.2,89.5,62.86,fragil,D,refrigerado,Protocolo_2
3,71.7,38.0,65.8,31.68,normal,C,refrigerado,Protocolo_1
2,88.7,68.7,70.6,65.29,normal,A,ambiente,Protocolo_2
2,9.9,26.3,14.4,49.45,normal,B,ambiente,Protocolo_1
2,97.5,96.6,44.9,54.38,fragil,B,ambiente,Protocolo_2
2,71.9,45.4,89.5,29.1,normal,D,ambiente,Protocolo_1
3,32.0,7.0,20.3,57.11,normal,B,ambiente,Protocolo_1
1,24.4,56.4,34.4,45.34,fragil,A,ambiente,Protocolo_2
3,33.1,69.2,69.4,49.56,normal,A,refrigerado,Protocolo_2
3,88.2,48.3,90.7,43.85,fragil,B,refrigerado,Protocolo_2
2,32.7,93.2,10.6,4.65,fragil,A,refrigerado,Protocolo_2
